Antwort ID,Geschlecht,Altersgruppe,E-Mail,ZHAW-Student,Wie häufig nutzen Sie aktuell generative KI im Arbeitskontext? [Benutzung KI],Wo setzen Sie Generative KI typischerweise ein? [Texterstellung und -bearbeitung (z.B. Verfassung von Mails  Artikel oder Zusammenfassungen)],Wo setzen Sie Generative KI typischerweise ein? [Kreative Inhalte erstellen (z.B. Bilder  Musik  Videos  Designs etc.)],Wo setzen Sie Generative KI typischerweise ein? [Programmieren und Automatisieren (z.B. Code schreiben  Fehler beheben etc.)],Wo setzen Sie Generative KI typischerweise ein? [Lernen und Bildung (z.B. individuelle Erklärungen  Zusammenfassungen  Lernhilfe etc.)],Wo setzen Sie Generative KI typischerweise ein? [Kommunikation und Übersetzung verbessern (z.B. Korrektur von Texten  Übersetzungen von Artikeln etc.)],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Effizienz],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Kreativität],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Arbeitsentlastung],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Zuverlässigkeit],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Innovation],Welche dieser Erwartungen wurden erfüllt? [Effizienz][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Effizienz][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Kreativität][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Kreativität][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Arbeitsentlastung][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Arbeitsentlastung][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Zuverlässigkeit][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Zuverlässigkeit][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Innovation][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Innovation][Skala 2],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Zeitersparnis],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Kreative Impulse],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Entlastung (Zeit + Aufwand)],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Qualität],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Keine bemerkbaren Effekte],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Ungenaue Resultate],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Fehlender Datenschutz],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Verbreitung von Fehlinformationen (Fake News)],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Abhängigkeit von Technologie],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Verlust von Originalität / menschlicher Kreativität],Wie stark vertrauen Sie den Resultaten von Generativer KI?,Hat Generative KI Ihre Arbeitsweise verändert?,Wie kompetent fühlen Sie sich im Umgang mit Generativer KI?,Hatten Sie Schulungen oder Trainings im Zusammenhang mit Generativer KI?,Wie 4 unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Technologische Infrastruktur],Wie 4 unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Guidelines zur Benutzung von Generativer KI],Wie 4 unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Schulungen / Kurse / Webinare],Wie 4 unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Rechtliche Richtlinien],Wie 4 unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Kulturelle Offenheit],Würden Sie Generative KI Ihren Mitmenschen weiterempfehlen? [Weiterempfehlung],Planen Sie Generative KI in Zukunft (mehr) zu nutzen?  
1,Männlich,18-25,@students.zhaw.ch,TRUE,7,TRUE,FALSE,TRUE,TRUE,FALSE,3,2,4,4,5,3,4,2,3,4,4,4,4,5,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,TRUE,3,FALSE,3,3,3,3,3,10,1
2,Männlich,18-25,@ipso.student.ch,FALSE,7,TRUE,FALSE,FALSE,TRUE,TRUE,3,2,3,2,2,2,4,2,5,3,4,2,4,2,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,TRUE,3,FALSE,3,3,2,2,4,10,1
3,Männlich,26-35,@icloud.com,FALSE,4,TRUE,FALSE,FALSE,TRUE,FALSE,4,4,5,5,4,4,4,4,4,4,5,4,3,3,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,3,FALSE,4,3,4,4,3,7,1
4,Männlich,18-25,@students.zhaw.ch,TRUE,9,TRUE,FALSE,TRUE,TRUE,TRUE,1,4,2,3,3,3,4,3,4,2,4,2,4,3,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,TRUE,3,FALSE,2,2,2,2,2,8,1
5,Männlich,26-35,@stud.unilu.ch,FALSE,8,TRUE,FALSE,FALSE,TRUE,TRUE,5,2,5,3,2,5,4,2,3,4,4,3,3,2,4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,TRUE,3,FALSE,1,1,1,1,1,8,1
6,Weiblich,18-25,@gmx.ch,FALSE,3,TRUE,FALSE,FALSE,FALSE,TRUE,3,1,4,5,3,3,4,1,5,4,5,4,5,3,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,TRUE,1,FALSE,1,1,1,1,4,7,2
7,Männlich,18-25,@gmx.ch,FALSE,9,TRUE,FALSE,FALSE,TRUE,TRUE,5,4,4,4,4,4,4,4,3,4,4,5,3,4,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,TRUE,3,FALSE,3,3,2,2,3,10,1
8,Weiblich,18-25,@gmail.com,FALSE,7,TRUE,FALSE,FALSE,TRUE,TRUE,4,3,5,4,3,4,4,3,3,5,5,4,3,3,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE,2,FALSE,3,3,3,2,2,7,2
9,Männlich,18-25,@gmx.ch,FALSE,5,TRUE,FALSE,FALSE,TRUE,TRUE,4,1,2,2,4,4,4,1,4,2,4,2,3,4,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,2,FALSE,1,1,1,1,4,6,1
11,Männlich,36-45,@gmx.ch,FALSE,8,FALSE,TRUE,FALSE,TRUE,TRUE,4,3,4,3,4,3,4,3,4,3,4,3,3,3,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,TRUE,3,TRUE,3,4,3,3,4,8,1
14,Weiblich,18-25,@hotmail.com,FALSE,5,TRUE,FALSE,FALSE,TRUE,TRUE,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2,TRUE,4,FALSE,1,1,1,1,1,6,2
